short_id	faixa	marca	classe	categoria	nome	numero	evidencias	praise	texto	pdf_id
0000	ambiguo	✓	(sem texto)	Partitura	A Cristo Corai		nome~	52f8dcfa		QXZ1bHNvcy8wMTcucGRm
0001	ambiguo	✓	nao_levar	Partitura	A Deus Demos Glória		num+slug		Não precisa levar	QXZ1bHNvcy8wMTkucGRm
0002	ambiguo	✓	(sem texto)	Partitura	A Luz que brilha mais que o sol		nome	a12e88cb		QXZ1bHNvcy9BIGx1eiBxdWUgYnJpbGhhIG1haXMgcXVlIG8gc29sLnBkZg==
0003	alta	✓	(sem texto)	Partitura	A Minha Paz te Dou (Coro Masculino)		nome+hash	b5d63843		QXZ1bHNvcy8xMDU4LnBkZg==
0004	ambiguo	✓	nao_levar	Partitura	A Nova Do Evangelho		num	ad131f75	Não precisa levar.	QXZ1bHNvcy8wMjgucGRm
0005	ambiguo	✓	adicionar_material	Partitura	A Obra do Senhor é Perfeita		num	265d1c8f	Adicione como Coro e Piano	MDUwNDIwMjYvQSBPYnJhIGRvIFNlbmhvciBlzIEgUGVyZmVpdGEvQ29yby5wZGY=
0006	media	✓	(sem texto)	Partitura	A Oração da Tua Igreja		nome+kind-unico	54a966a5		MzAxMDIwMjUvQSBPUkFDzKdBzINPIERBIFRVQSBJR1JFSkEgLSBDb3JvLnBkZg==
0007	sem_louvor	✓	criar_praise	Cifra	A Porta				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlFTQlFiM0owWVM5RGFXWnlZUzV3WkdZPS5wZGY=
0008	sem_louvor	✓	criar_praise	Partitura	A Teus Pés, Jesus				Criar praise e adicionar como Choir	QXZ1bHNvcy8wNDMucGRm
0009	media	✓	nao_levar	Partitura	A Ti Que Habitas		nome~+kind-unico	6f7137fb	Não precisa levar	QXZ1bHNvcy8wNDYucGRm
000a	faltante	✓	adicionar_material	Cifra	A Ti Senhor		nome	13f78240	Adicionar como Cifra	YXNzZXRzL0F2dWxzb3MgRGl2ZXJzb3MgKEdMVE0pL0EgVGkgU2VuaG9yIC0gQ2lmcmEucGRm
000b	media	✓	(sem texto)	Partitura	A Ti Senhor		nome+kind-unico	13f78240		MzAxMDIwMjUvQSBUaSBTZW5ob3IgLSBTb2xvIGUgVm96ZXMucGRm
000c	media	✓	(sem texto)	Partitura	A Trombeta Está Pra Soar (O Fim Vem)		nome~+hash	f392c328		QXZ1bHNvcy82NTQucGRm
000d	media	✓	nao_levar	Partitura	A Vida No mundo é Cruel		num+kind-unico	93e9e7ee	Não precisa levar	QXZ1bHNvcy8wNDgucGRm
000e	media	✓	(sem texto)	Partitura	A Vida Tem Tristeza (Vem a Mim)		nome~+hash	aff0c1f1		QXZ1bHNvcy8xMTQ4LnBkZg==
000f	media	✓	adicionar_material	Partitura	A Vitória Desta Igreja é Oração		num+kind-unico	fd64e158	Adicione como choir	QXZ1bHNvcy8wNDIucGRm
0010	sem_louvor	✓	criar_praise	Cifra	A ceia do Senhor (I Corintios 1123-26)				Criar praise e adicionar como Cifra	QWRpY2lvbmFkb3MvUVdScFkybHZibUZrYjNNdlFTQmpaV2xoSUdSdklGTmxibWh2Y2lBb1NTQkRiM0pwYm5ScGIzTWdNVEV5TXkweU5pa3ZRMmxtY21FdWNHUm0ucGRm
